subject,body,category
Documento con observaciones,"Perdón la hora, me preocupa porque parece una solicitud de trabajo normal, aunque la acción no puede esperar. Además, la novedad escaló a prioridad alta porque afecta la operación del día. No quiero dejarlo mal clasificado: el dolor bajó un poco, pero necesito confirmar si debo seguir con la misma dosis. Por favor confirmar recibido. Ref. 1485.",urgente
Cambio en la fecha - radicación pendiente,"Hola, equipo, La administración del conjunto informó cambio de horario para el mantenimiento del ascensor. El aviso dice que la cuenta será cerrada, pero el enlace no coincide con la empresa. La persona encargada no contesta y el proceso quedó detenido. Incluye una referencia a salud porque alguien no pudo asistir, pero no es un trámite médico. Fecha relacionada: 21 de septiembre. Contacto: Daniela. Quedo pendiente de respuesta. Ref. 3284.",otros
Revisión pendiente del proceso,"Saludos. Se menciona una capacitación, pero el objetivo es cerrar una entrega de trabajo. El remitente pide responder por este mismo hilo para evitar cruces de información. Quedo pendiente de respuesta. Ref. 0597.",trabajo
Validación de datos,"Perdón la hora, revisa esto porfa: el mensaje anterior quedó sin respuesta y por eso vuelvo a escribir / la consulta fue reagendada y no sé si el copago anterior todavía aplica / se disfraza de factura normal, pero el remitente no coincide / piden responder con datos personales para activar una supuesta devolución. Fecha mencionada: 17 de mayo. Por favor confirmar recibido. Ref. 2770.",spam
Validar soporte adjunto - seguimiento interno #28,"Hola, equipo, El área financiera pidió soporte de viáticos y no coincide con la política interna. El archivo adjunto no abre desde el celular y desde el computador aparece incompleto. Hay un plazo cercano, aunque no es una emergencia sino un compromiso del proyecto. La familia propuso mover la reunión del domingo por el clima y el transporte. Fecha relacionada: 2 de mayo. Contacto: Julián. Agradezco la ayuda. Ref. 0989.",trabajo
Consulta sobre el proceso - soporte de pago,"Hola, La empresa de mensajería pidió actualizar la dirección para completar la entrega. El aviso dice que la cuenta será cerrada, pero el enlace no coincide con la empresa. El asunto habla de validación, pero solo corresponde a una gestión personal. La fecha que aparece en el mensaje no coincide con la que habían confirmado antes. Fecha relacionada: 9 de octubre. Contacto: Andrés. Muchas gracias. Ref. 3029.",otros
Actualización de estado - actualización de cuenta,"Cordial saludo, La persona encargada no contesta y el proceso quedó detenido. No es publicidad: hay una consecuencia directa si no se actúa ahora. Si no se autoriza el cambio esta tarde, el caso queda suspendido. El examen fue reprogramado y varios estudiantes no recibieron la notificación. Fecha relacionada: 3 de diciembre. Contacto: Camila. Gracias. Ref. 1385.",urgente
Revisión del formulario - autorización requerida,Saludos. La reunión con operaciones se movió y todavía falta confirmar quién presenta los avances. En el correo también hablan de certificados y fechas de clase porque el cliente es una institución educativa. Agradezco la ayuda. Ref. 0998.,trabajo
Documento con observaciones - certificado pendiente,"Perdón la hora, El archivo adjunto no abre desde el celular y desde el computador aparece incompleto. También aparece 'seguimiento interno' en el asunto original y eso puede confundir el caso.. El trámite personal quedó radicado, pero falta un soporte de identidad. El dolor bajó un poco, pero necesito confirmar si debo seguir con la misma dosis. Fecha relacionada: 5 de enero. Contacto: Nicolás. Quedo atento. Ref. 3096.",otros
Confirmación de asistencia,"Buenos días, El centro médico pide un soporte que no aparece en el correo anterior. La empresa de mensajería pidió actualizar la dirección para completar la entrega. La fecha que aparece en el mensaje no coincide con la que habían confirmado antes. El archivo se llama informe final, pero corresponde a resultados clínicos. Fecha relacionada: 22 de julio. Contacto: Camila. Muchas gracias. Ref. 0006.",salud
Actividad pendiente - autorización requerida,"Hola, equipo, También aparece 'estado del proceso' en el asunto original y eso puede confundir el caso.. Necesito saber si debo esperar o hacer una corrección manual. Hay palabras como informe y proyecto, pero se refiere a una actividad de clase. El examen fue reprogramado y varios estudiantes no recibieron la notificación. Fecha relacionada: 16 de agosto. Contacto: Andrés. Quedo atento. Ref. 2069.",educacion
Revisión pendiente del proceso,"Buen día, La entrega se vence en unas horas y falta una firma obligatoria. La autorización de la eps sigue sin aparecer aunque ya entregué la orden y la historia clínica. La minuta quedó con compromisos asignados a personas que no estuvieron en la llamada. No es publicidad: hay una consecuencia directa si no se actúa ahora. Fecha relacionada: 22 de septiembre. Contacto: Paula. Quedo atento. Ref. 1389.",urgente
Información para revisar,"Buen día, La plataforma cerrará el formulario esta noche y no permite prórroga. También aparece 'autorización requerida' en el asunto original y eso puede confundir el caso.. La biblioteca bloqueó el préstamo porque aparece una devolución pendiente. La fecha que aparece en el mensaje no coincide con la que habían confirmado antes. Fecha relacionada: 13 de julio. Contacto: Valentina. Quedo atento. Ref. 1493.",urgente
Información incompleta #99,"Buenas tardes, revisa esto porfa: La referencia interna quedó como MSG-164 y fue enviada desde Madrid. / el cliente cambió el alcance y eso afecta el cronograma que compartimos con el equipo / el soporte está cargado, aunque el sistema todavía lo muestra como pendiente / También aparece 'caso en revisión' en el asunto original y eso puede confundir el caso.. Fecha mencionada: 7 de junio. Avísame apenas puedas. Ref. 0792.",trabajo
Respuesta sobre el caso #15,"Hola, equipo, También aparece 'autorización requerida' en el asunto original y eso puede confundir el caso.. El especialista cambió la cita y el resultado del laboratorio quedó sin revisión. El soporte está cargado, aunque el sistema todavía lo muestra como pendiente. El docente dejó observaciones en la tarea, pero el archivo adjunto no abre. Fecha relacionada: 16 de febrero. Contacto: Diego. Quedo pendiente de respuesta. Ref. 0277.",salud
Solicitud de soporte #81,"Buen día. El proveedor respondió con otra versión del contrato y debemos revisar las diferencias. El soporte está cargado, aunque el sistema todavía lo muestra como pendiente. Gracias. Ref. 0572.",salud
Confirmación requerida,"Hola, equipo, me preocupa porque la persona encargada no contesta y el proceso quedó detenido. Además, el acceso al sistema corporativo sigue limitado para cerrar las tareas del proyecto. No quiero dejarlo mal clasificado: la factura de servicios llegó con una lectura que no coincide con el consumo habitual. Gracias. Ref. 0767.",trabajo
Pendiente por sistema,"Buenas tardes, revisa esto porfa: también aparece una reunión con coordinación, pero es parte del proceso académico / La referencia interna quedó como REV-323 y fue enviada desde Madrid. / el texto mezcla logos de banco con errores de escritura y una urgencia exagerada / hay dos versiones del documento y nadie confirma cuál es la válida. Fecha mencionada: 2 de septiembre. Agradezco la ayuda. Ref. 2099.",educacion
Revisión del presupuesto,"Saludos, me preocupa porque la minuta quedó con compromisos asignados a personas que no estuvieron en la llamada. Además, la autorización de la EPS sigue sin aparecer aunque ya entregué la orden y la historia clínica. No quiero dejarlo mal clasificado: aparece la palabra salud por el plan de bienestar, pero el asunto es laboral. Por favor confirmar recibido. Ref. 0944.",trabajo
Respuesta sobre el caso - enlace de acceso,Perdón la hora. La fecha que aparece en el mensaje no coincide con la que habían confirmado antes. La referencia interna quedó como rev-757 y fue enviada desde chía.. Me confirmas por favor. Ref. 1349.,urgente
Paquete por recoger,"Hola, equipo, La universidad solicitó corregir el formulario de inscripción del semestre. También aparece 'validación de datos' en el asunto original y eso puede confundir el caso.. Parece urgente por el tono, aunque es una coordinación cotidiana. La persona encargada no contesta y el proceso quedó detenido. Fecha relacionada: 28 de septiembre. Contacto: Valentina. Gracias. Ref. 3368.",otros
Actualización de registro,"Buenos días, revisa esto porfa: la coordinación pidió revisar las notas antes del cierre del periodo / la información parece mezclada con otro caso y puede generar confusión / se menciona una capacitación, pero el objetivo es cerrar una entrega de trabajo / el trámite personal quedó radicado, pero falta un soporte de identidad. Fecha mencionada: 8 de agosto. Avísame apenas puedas. Ref. 0614.",trabajo
Validar soporte adjunto,"Saludos, La aseguradora pidió repetir el examen antes de aprobar el procedimiento. La biblioteca bloqueó el préstamo porque aparece una devolución pendiente. Aunque el correo habla de certificado, pago y plataforma, lo que realmente necesito resolver es la autorización de la cita y la entrega del medicamento.. El soporte está cargado, aunque el sistema todavía lo muestra como pendiente. Fecha relacionada: 1 de abril. Contacto: Andrés. Por favor confirmar recibido. Ref. 0346.",salud
Confirmación antes del cierre,"Buenos días, El taller confirmó que el repuesto del vehículo llega mañana en la tarde. El coordinador solicitó validar indicadores antes del comité de seguimiento. La referencia interna quedó como caso-542 y fue enviada desde madrid.. Hay un plazo cercano, aunque no es una emergencia sino un compromiso del proyecto. Fecha relacionada: 9 de junio. Contacto: Mariana. Gracias. Ref. 0794.",trabajo
Confirmación de asistencia - formulario incompleto,"Hola, equipo, El paquete quedó en recepción y piden retirarlo antes del fin de semana. Se parece a una notificación comercial, aunque viene de un contacto conocido. El especialista cambió la cita y el resultado del laboratorio quedó sin revisión. El mensaje anterior quedó sin respuesta y por eso vuelvo a escribir. Fecha relacionada: 12 de octubre. Contacto: Laura. Muchas gracias. Ref. 3272.",otros
Confirmación requerida - validación de datos,"Saludos, revisa esto porfa: el mensaje anterior quedó sin respuesta y por eso vuelvo a escribir / la factura de servicios llegó con una lectura que no coincide con el consumo habitual / el presupuesto fue aprobado parcialmente y toca ajustar la propuesta comercial / aparece la palabra salud por el plan de bienestar, pero el asunto es laboral. Fecha mencionada: 1 de agosto. Avísame apenas puedas. Ref. 0983.",trabajo
Cambio en la fecha - formulario incompleto,"Perdón la hora, revisa esto porfa: la información parece mezclada con otro caso y puede generar confusión / el arrendador pidió revisar el inventario antes de firmar la entrega / El mensaje menciona soporte y validación, aunque solo corresponde a un trámite personal sin relación institucional. / se parece a una notificación comercial, aunque viene de un contacto conocido. Fecha mencionada: 21 de octubre. Quedo atento. Ref. 3116.",otros
Invitación familiar - seguimiento interno,"Perdón la hora, revisa esto porfa: el remitente pide responder por este mismo hilo para evitar cruces de información / el asunto habla de validación, pero solo corresponde a una gestión personal / la administración del conjunto informó cambio de horario para el mantenimiento del ascensor / la plataforma cerrará el formulario esta noche y no permite prórroga. Fecha mencionada: 14 de julio. Por favor confirmar recibido. Ref. 3403.",otros
Solicitud con prioridad - autorización requerida,"Hola, equipo, El archivo adjunto no abre desde el celular y desde el computador aparece incompleto. La referencia interna quedó como rev-530 y fue enviada desde madrid.. Ofrecen un premio no solicitado si se confirma la cuenta en una página desconocida. Parece una alerta urgente, aunque la presión es parte del engaño. Fecha relacionada: 23 de marzo. Contacto: Julián. Quedo atento. Ref. 2739.",spam
Seguimiento pendiente,"Buen día, El remitente pide responder por este mismo hilo para evitar cruces de información. La aseguradora pidió repetir el examen antes de aprobar el procedimiento. Incluye datos médicos del soporte, pero lo crítico es la fecha límite. Si no se autoriza el cambio esta tarde, el caso queda suspendido. Fecha relacionada: 18 de octubre. Contacto: Laura. Gracias. Ref. 1226.",urgente
Confirmación de asistencia - soporte de pago #24,"Buenos días, El presupuesto fue aprobado parcialmente y toca ajustar la propuesta comercial. La persona encargada no contesta y el proceso quedó detenido. También aparece 'radicación pendiente' en el asunto original y eso puede confundir el caso.. El centro médico pide un soporte que no aparece en el correo anterior. Fecha relacionada: 20 de diciembre. Contacto: Diego. Me confirmas por favor. Ref. 0215.",salud
Cambio con el cliente,"Buenos días, El grupo de estudio necesita confirmar el enlace de la clase virtual. El área financiera pidió soporte de viáticos y no coincide con la política interna. También aparece 'confirmación de asistencia' en el asunto original y eso puede confundir el caso.. La persona encargada no contesta y el proceso quedó detenido. Fecha relacionada: 27 de diciembre. Contacto: Paula. Quedo pendiente de respuesta. Ref. 0690.",trabajo
Actualización de registro - soporte de pago,"Buen día, El remitente pide responder por este mismo hilo para evitar cruces de información. La promoción insiste en actualizar información bancaria fuera del portal oficial. La incapacidad quedó cargada con una fecha diferente a la que indicó el médico. También aparece 'caso en revisión' en el asunto original y eso puede confundir el caso.. Fecha relacionada: 24 de octubre. Contacto: Andrés. Muchas gracias. Ref. 0132.",salud
Actualización del caso #71,"Buenas tardes, El remitente pide responder por este mismo hilo para evitar cruces de información. La autorización de la eps sigue sin aparecer aunque ya entregué la orden y la historia clínica. Hay palabras como informe y proyecto, pero se refiere a una actividad de clase. El colegio envió una circular, pero no queda claro si aplica para todos los cursos. Fecha relacionada: 14 de diciembre. Contacto: Diego. Me confirmas por favor. Ref. 1760.",educacion
Registro pendiente #85,"Hola, equipo, El soporte está cargado, aunque el sistema todavía lo muestra como pendiente. Hay una alerta de acceso no reconocido y necesitamos bloquear la cuenta de inmediato. El laboratorio envió el archivo, pero tiene un dato personal mal escrito. El cliente cambió el alcance y eso afecta el cronograma que compartimos con el equipo. Fecha relacionada: 17 de agosto. Contacto: Andrés. Avísame apenas puedas. Ref. 1084.",trabajo
Atención prioritaria - cambio de horario,"Hola, equipo, me preocupa porque suena como una notificación de paquete, pero si no se responde se pierde el proceso. Además, la plataforma cerrará el formulario esta noche y no permite prórroga. No quiero dejarlo mal clasificado: También aparece 'revisión del documento' en el asunto original y eso puede confundir el caso.. Quedo atento. Ref. 1559.",urgente
Solicitud de soporte,"Buenas tardes, revisa esto porfa: el archivo adjunto no abre desde el celular y desde el computador aparece incompleto / el examen fue reprogramado y varios estudiantes no recibieron la notificación / se menciona una capacitación, pero el objetivo es cerrar una entrega de trabajo / la minuta quedó con compromisos asignados a personas que no estuvieron en la llamada. Fecha mencionada: 8 de octubre. Muchas gracias. Ref. 1105.",trabajo
Validar soporte adjunto - confirmación de asistencia,"Hola, El remitente pide responder por este mismo hilo para evitar cruces de información. Hay una alerta de acceso no reconocido y necesitamos bloquear la cuenta de inmediato. Además mencionaron una reunión y un formulario, pero eso no resuelve la cita. El laboratorio envió el archivo, pero tiene un dato personal mal escrito. Fecha relacionada: 23 de octubre. Contacto: Andrés. Me confirmas por favor. Ref. 0575.",salud
Novedad con proveedor,"Hola, También aparece 'cambio de horario' en el asunto original y eso puede confundir el caso.. El remitente usa un dominio extraño y pide pagar una tarifa para liberar el paquete. Hay dos versiones del documento y nadie confirma cuál es la válida. El acceso al sistema corporativo sigue limitado para cerrar las tareas del proyecto. Fecha relacionada: 26 de noviembre. Contacto: Carlos. Muchas gracias. Ref. 0799.",trabajo
Confirmación antes del cierre,"Saludos, La referencia interna quedó como sol-412 y fue enviada desde medellín.. Parece una solicitud de trabajo normal, aunque la acción no puede esperar. Aparece una factura inesperada con botón de pago y remitente no reconocido. Hay una alerta de acceso no reconocido y necesitamos bloquear la cuenta de inmediato. Fecha relacionada: 22 de agosto. Contacto: Camila. Avísame apenas puedas. Ref. 1470.",urgente
Mensaje de seguridad,"Cordial saludo, La consulta fue reagendada y no sé si el copago anterior todavía aplica. Incluye una firma parecida a soporte oficial, pero solicita información sensible. El taller confirmó que el repuesto del vehículo llega mañana en la tarde. Aparece una factura inesperada con botón de pago y remitente no reconocido. Fecha relacionada: 13 de noviembre. Contacto: Paula. Agradezco la ayuda. Ref. 2784.",spam
Solicitud de revisión - soporte de pago,"Saludos, me preocupa porque incluye una firma parecida a soporte oficial, pero solicita información sensible. Además, También aparece 'enlace de acceso' en el asunto original y eso puede confundir el caso.. No quiero dejarlo mal clasificado: solicitan descargar un archivo para recibir un descuento que nunca pedí. Avísame apenas puedas. Ref. 2618.",spam
Consulta sobre el proceso - revisión del documento #71,"Hola, me preocupa porque También aparece 'radicación pendiente' en el asunto original y eso puede confundir el caso.. Además, La referencia interna quedó como REG-889 y fue enviada desde Bogotá.. No quiero dejarlo mal clasificado: el centro médico pide un soporte que no aparece en el correo anterior. Me confirmas por favor. Ref. 0279.",salud
Información para revisar,"Buenas tardes, También aparece 'validación de datos' en el asunto original y eso puede confundir el caso.. El coordinador solicitó validar indicadores antes del comité de seguimiento. El arrendador pidió revisar el inventario antes de firmar la entrega. La referencia interna quedó como caso-887 y fue enviada desde chía.. Fecha relacionada: 12 de febrero. Contacto: Mariana. Quedo pendiente de respuesta. Ref. 0726.",trabajo
Observación importante,"Buenas tardes. El asunto habla de validación, pero solo corresponde a una gestión personal. El mensaje menciona soporte y validación, aunque solo corresponde a un trámite personal sin relación institucional.. Muchas gracias. Ref. 3478.",otros
Respuesta sobre el caso #32,"Hola, equipo, También aparece 'revisión del documento' en el asunto original y eso puede confundir el caso.. El soporte está cargado, aunque el sistema todavía lo muestra como pendiente. El laboratorio envió el archivo, pero tiene un dato personal mal escrito. Además mencionaron una reunión y un formulario, pero eso no resuelve la cita. Fecha relacionada: 19 de noviembre. Contacto: Mariana. Quedo pendiente de respuesta. Ref. 0516.",salud
Orden pendiente - plazo cercano,"Cordial saludo, revisa esto porfa: me llegó una notificación automática, pero no explica el motivo del cambio / el arrendador pidió revisar el inventario antes de firmar la entrega / el dolor bajó un poco, pero necesito confirmar si debo seguir con la misma dosis / El mensaje parece de trabajo porque menciona informe y reunión, pero todo corresponde a los soportes de incapacidad y al resultado médico.. Fecha mencionada: 2 de septiembre. Me confirmas por favor. Ref. 0541.",salud
Documento adjunto,"Hola, equipo, Además mencionaron una reunión y un formulario, pero eso no resuelve la cita. El centro médico pide un soporte que no aparece en el correo anterior. El remitente pide responder por este mismo hilo para evitar cruces de información. Aparece una factura inesperada con botón de pago y remitente no reconocido. Fecha relacionada: 14 de marzo. Contacto: Mariana. Por favor confirmar recibido. Ref. 0316.",salud
Información para revisar - soporte de pago,"Buenas tardes, También aparece 'soporte de pago' en el asunto original y eso puede confundir el caso.. Se parece a una notificación comercial, aunque viene de un contacto conocido. La factura de servicios llegó con una lectura que no coincide con el consumo habitual. La referencia interna quedó como caso-103 y fue enviada desde facatativá.. Fecha relacionada: 5 de enero. Contacto: Carlos. Agradezco la ayuda. Ref. 3005.",otros
Cambio en la programación #52,"Perdón la hora, El remitente pide responder por este mismo hilo para evitar cruces de información. Aparece la palabra salud por el plan de bienestar, pero el asunto es laboral. El equipo remoto reportó bloqueos en el tablero y hay entregables sin responsable. También aparece 'notificación del sistema' en el asunto original y eso puede confundir el caso.. Fecha relacionada: 23 de febrero. Contacto: Julián. Me confirmas por favor. Ref. 0947.",trabajo
Observación importante #11,"Cordial saludo, El remitente pide responder por este mismo hilo para evitar cruces de información. La aseguradora pidió repetir el examen antes de aprobar el procedimiento. El proveedor adjuntó una factura que parece mensaje comercial. También aparece 'plazo cercano' en el asunto original y eso puede confundir el caso.. Fecha relacionada: 6 de noviembre. Contacto: Daniela. Quedo atento. Ref. 0600.",trabajo
Revisión para hoy #34,"Hola, equipo, También aparece 'archivo adjunto' en el asunto original y eso puede confundir el caso.. El remitente pide responder por este mismo hilo para evitar cruces de información. La reunión con operaciones se movió y todavía falta confirmar quién presenta los avances. Incluye una referencia a salud porque alguien no pudo asistir, pero no es un trámite médico. Fecha relacionada: 20 de noviembre. Contacto: Santiago. Gracias. Ref. 3466.",otros
Solicitud de soporte,"Cordial saludo. Puede parecer académico porque habla de certificado, pero el riesgo está en el vencimiento. El laboratorio envió el archivo, pero tiene un dato personal mal escrito. Agradezco la ayuda. Ref. 1683.",urgente
Seguimiento de caso,"Buenos días, revisa esto porfa: También aparece 'estado del proceso' en el asunto original y eso puede confundir el caso. / el laboratorio envió el archivo, pero tiene un dato personal mal escrito / la matrícula quedó pendiente porque falta cargar el certificado académico / El mensaje parece de trabajo porque menciona informe y reunión, pero todo corresponde a los soportes de incapacidad y al resultado médico.. Fecha mencionada: 4 de agosto. Quedo pendiente de respuesta. Ref. 0012.",salud
Confirmación requerida,"Hola, La aprobación vence hoy a las cinco y sin eso se detiene todo el proceso. También aparece 'radicación pendiente' en el asunto original y eso puede confundir el caso.. Menciona una reunión y un pago, pero no pertenece al trabajo ni a educación. La invitación al evento cambió de lugar y aún no confirman el aforo. Fecha relacionada: 10 de febrero. Contacto: Camila. Gracias. Ref. 3352.",otros
Registro pendiente,"Buen día. Necesito saber si debo esperar o hacer una corrección manual. El aviso dice que la cuenta será cerrada, pero el enlace no coincide con la empresa. Avísame apenas puedas. Ref. 1733.",urgente
Clase reprogramada #63,"Hola, equipo. El cliente cambió el alcance y eso afecta el cronograma que compartimos con el equipo. También aparece una reunión con coordinación, pero es parte del proceso académico. Me confirmas por favor. Ref. 1761.",educacion
Observación importante #56,"Hola, La matrícula quedó pendiente porque falta cargar el certificado académico. La persona encargada está esperando confirmación ahora para no perder el cupo. Mencionan pago y soporte, aunque corresponde a matrícula y no a una compra. El remitente pide responder por este mismo hilo para evitar cruces de información. Fecha relacionada: 1 de octubre. Contacto: Julián. Quedo pendiente de respuesta. Ref. 1925.",educacion
Cambio en la programación,"Perdón la hora, me preocupa porque La referencia interna quedó como REV-111 y fue enviada desde Cota.. Además, la supuesta entidad solicita contraseña y código de seguridad para evitar una suspensión. No quiero dejarlo mal clasificado: el proveedor respondió con otra versión del contrato y debemos revisar las diferencias. Quedo atento. Ref. 1574.",urgente
Respuesta pendiente,Buenos días. El jefe pidió consolidar el informe antes de enviarlo a gerencia. También aparece 'validación de datos' en el asunto original y eso puede confundir el caso.. Muchas gracias. Ref. 0687.,trabajo
Información incompleta,"Buenos días, El profesor cambió la fecha de entrega y la actividad no aparece actualizada en la plataforma. Hay dos versiones del documento y nadie confirma cuál es la válida. Se parece a una notificación comercial, aunque viene de un contacto conocido. La supuesta entidad solicita contraseña y código de seguridad para evitar una suspensión. Fecha relacionada: 21 de septiembre. Contacto: Laura. Agradezco la ayuda. Ref. 3200.",otros
Seguimiento pendiente - soporte de pago,"Hola, revisa esto porfa: me llegó una notificación automática, pero no explica el motivo del cambio / el colegio envió una circular, pero no queda claro si aplica para todos los cursos / el cliente cambió el alcance y eso afecta el cronograma que compartimos con el equipo / el mensaje suena urgente, pero la categoría correcta es seguimiento educativo. Fecha mencionada: 26 de octubre. Agradezco la ayuda. Ref. 2216.",educacion
Actualización de registro,"Hola, equipo, revisa esto porfa: el soporte está cargado, aunque el sistema todavía lo muestra como pendiente / el laboratorio envió el archivo, pero tiene un dato personal mal escrito / la biblioteca bloqueó el préstamo porque aparece una devolución pendiente / incluye una autorización familiar, no una cita médica. Fecha mencionada: 19 de febrero. Quedo pendiente de respuesta. Ref. 2048.",educacion
Revisión para hoy,Buenas tardes. Necesito saber si debo esperar o hacer una corrección manual. El equipo remoto reportó bloqueos en el tablero y hay entregables sin responsable. Agradezco la ayuda. Ref. 0756.,trabajo
Respuesta sobre el caso,"Cordial saludo, La novedad escaló a prioridad alta porque afecta la operación del día. También aparece 'revisión del documento' en el asunto original y eso puede confundir el caso.. Suena como una notificación de paquete, pero si no se responde se pierde el proceso. La fecha que aparece en el mensaje no coincide con la que habían confirmado antes. Fecha relacionada: 9 de octubre. Contacto: Santiago. Muchas gracias. Ref. 1248.",urgente
Documento con observaciones - plazo cercano,"Hola, equipo, revisa esto porfa: la reunión con operaciones se movió y todavía falta confirmar quién presenta los avances / aparece la palabra salud por el plan de bienestar, pero el asunto es laboral / La referencia interna quedó como CASO-301 y fue enviada desde Cali. / me llegó una notificación automática, pero no explica el motivo del cambio. Fecha mencionada: 15 de noviembre. Gracias. Ref. 0703.",trabajo
Entrega en plataforma,"Saludos, La universidad solicitó corregir el formulario de inscripción del semestre. El mensaje suena médico por la excusa de inasistencia, pero la gestión es académica con coordinación.. El mensaje suena urgente, pero la categoría correcta es seguimiento educativo. La fecha que aparece en el mensaje no coincide con la que habían confirmado antes. Fecha relacionada: 11 de septiembre. Contacto: Nicolás. Avísame apenas puedas. Ref. 2104.",educacion
Revisión del formulario,"Perdón la hora, La consulta fue reagendada y no sé si el copago anterior todavía aplica. También aparece una reunión con coordinación, pero es parte del proceso académico. El profesor cambió la fecha de entrega y la actividad no aparece actualizada en la plataforma. La fecha que aparece en el mensaje no coincide con la que habían confirmado antes. Fecha relacionada: 21 de octubre. Contacto: Valentina. Agradezco la ayuda. Ref. 1783.",educacion
Solicitud de soporte - observación del encargado #17,"Buen día, El coordinador solicitó validar indicadores antes del comité de seguimiento. El mensaje menciona soporte y validación, aunque solo corresponde a un trámite personal sin relación institucional.. Se parece a una notificación comercial, aunque viene de un contacto conocido. Hay dos versiones del documento y nadie confirma cuál es la válida. Fecha relacionada: 5 de mayo. Contacto: Andrés. Agradezco la ayuda. Ref. 3380.",otros
Pendiente de autorización #22,"Saludos, El mensaje pide abrir un enlace externo para validar datos y promete desbloquear un beneficio. Puede parecer académico porque habla de certificado, pero el riesgo está en el vencimiento. El profesor cambió la fecha de entrega y la actividad no aparece actualizada en la plataforma. El documento tiene un error que debe corregirse antes de radicarlo hoy. Fecha relacionada: 10 de noviembre. Contacto: Diego. Por favor confirmar recibido. Ref. 1513.",urgente
